Артикул;Наименование;Описание продукта;Категория;Цена;Акционная цена;Валюта;Акционный товар;На складе;В упаковке;Единица измерения;Гендер;Зодиак;Животинка;VIP тираж;Коллекция;Персонаж;Фотографии;Производитель;Страна;Родитель;Группа дочернего товара;Сопутствующие товары;SKU;КатегорияA;подкатА;КатегорияB;подкатВ;КатегорияС;подкатС;FOB;NEW_RTL_BASE;NEW_RTL_DISCOUNT;BARCODE;SPECS
#1003;Набор НГ шаров 7 шт. Xmas Wreath;Новогодние шары в замечательной подарочной коробке с кошками;Хочу для дома:хобби;725;0;Рубли;0;5;1;шт.;;;Друзья;;;;"1003_1.jpg;1003_2.jpg;1003_3.jpg";Henry Cats and Friends;;;;;HBO1-47B;Хочу для дома:;хобби;;;;;4;18.6;11.16;4.71531E+12;"?dia: 75mmgift box: W 25.4 x L 12.7 x H 8.3 cm  
"
#1004;Подставки под кружку с кошкой Белла «NY»;Пробковые подставки под кружку. Набор из 2-х шт.;"Хочу для дома:для посуды;Хочу для дома:хобби";227;0;Рубли;0;2;1;шт.;Девочки;Водолей;Котики;;;Кошка Белла;"1004_1.jpg;1004_2.jpg;1004_3.jpg";Henry Cats and Friends;;;;;HCO3A-CA011;Хочу для дома:;для посуды;Хочу для дома:;хобби;;;0.75;3.4875;3.49;4.71531E+12;0
#1008;Кот Тайгер, Весы;Американский короткошерстный ;Хочу для дома:хобби;2122;0;Рубли;0;5;1;шт.;Мальчики;Весы;Котики;;;Котенок Тайгер;"1008_1.jpg;1008_2.jpg;1008_3.jpg";Henry Cats and Friends;;;;;CGAS-CA001;Хочу для дома:;хобби;;;;;11.7;54.405;32.64;4.71218E+12;W 9.4 x H 6.2 x D 3.9cm
#1009;Кот Симба, Овен;Американский короткошерстный ;Хочу для дома:хобби;1995;0;Рубли;0;5;1;шт.;Мальчики;Овен;Котики;;;Котенок Симба;"1009_1.jpg;1009_2.jpg;1009_3.jpg";Henry Cats and Friends;;;;;CGAS-CA002;Хочу для дома:;хобби;;;;;11;51.15;30.69;4.71218E+12;W 5.9 x H 7.9x D 4.1cm
#1010;Кошка Китти, Рыбы;Бенгальская кошка ;Хочу для дома:хобби;1850;0;Рубли;0;5;1;шт.;Девочки;Рыбы;Котики;;;Кошка Китти;"1010_1.jpg;1010_2.jpg;1010_3.jpg";Henry Cats and Friends;;;;;CGAS-CA003;Хочу для дома:;хобби;;;;;10.2;47.43;28.46;4.71218E+12;W 4.9x H 5.9x D 3cm
#1011;Кошка Мисси, Телец;Британская короткошерстная ;Хочу для дома:хобби;1905;0;Рубли;0;0;1;шт.;Девочки;Телец;Котики;;;Киска Мисси;"1011_1.jpg;1011_2.jpg;1011_3.jpg";Henry Cats and Friends;;;;;CGAS-CA004;Хочу для дома:;хобби;;;;;10.5;48.825;29.3;4.71218E+12;W 6.1x H 4.4 x D 3.2cm
#1012;Кошка Лейди, Рак;Экзотическая короткошерстная ;Хочу для дома:хобби;1977;0;Рубли;0;5;1;шт.;Девочки;Рак;Котики;;;Кошка Лейди;"1012_1.jpg;1012_2.jpg;1012_3.jpg";Henry Cats and Friends;;;;;CGAS-CA005;Хочу для дома:;хобби;;;;;10.9;50.685;30.41;4.71218E+12;W 8 x H 5.7 x D3.6cm
#1013;Кот Пэтч, Стрелец;Американский керл ;Хочу для дома:хобби;1814;0;Рубли;0;5;1;шт.;Мальчики;Стрелец;Котики;;;Котенок Пэтч;"1013_1.jpg;1013_2.jpg;1013_3.jpg";Henry Cats and Friends;;;;;CGAS-CA006;Хочу для дома:;хобби;;;;;10;46.5;27.9;4.71218E+12;W 3.7 x H 5.5x D 3.2cm
#1014;Кот Шедоу, Козерог;Американский короткошерстный ;Хочу для дома:хобби;2086;0;Рубли;0;5;1;шт.;Мальчики;Козерог;Котики;;;Кот Шедоу;"1014_1.jpg;1014_2.jpg;1014_3.jpg";Henry Cats and Friends;;;;;CGAS-CA007;Хочу для дома:;хобби;;;;;11.5;53.475;32.09;4.71218E+12;W 8 x H 5.5 x D 2.9cm
#1015;Кот Миго, Близнецы;Домашний короткошерстный ;Хочу для дома:хобби;1614;0;Рубли;0;5;1;шт.;Мальчики;Близнецы;Котики;;;Котик Миго;"1015_1.jpg;1015_2.jpg;1015_3.jpg";Henry Cats and Friends;;;;;CGAS-CA008;Хочу для дома:;хобби;;;;;8.9;41.385;24.83;4.71218E+12;W 4.9x H 3.7x D 2.1cm
